product_id,product_name,category,weather_dependency,shop_id,city
P037,Flavoured Yogurt,Dairy,Medium,S001,Thiruvananthapuram
P038,Fresh Cream,Dairy,Low,S001,Thiruvananthapuram
P039,Bread,Bakery,Low,S001,Thiruvananthapuram
P040,Bun,Bakery,Low,S001,Thiruvananthapuram
P041,Burger Bun,Bakery,Low,S001,Thiruvananthapuram
P042,Cake,Bakery,Medium,S001,Thiruvananthapuram
P043,Rusk,Bakery,Low,S001,Thiruvananthapuram
P044,Biscuits,Bakery,Low,S001,Thiruvananthapuram
P045,Croissant,Bakery,Low,S001,Thiruvananthapuram
P046,Bread Rolls,Bakery,Low,S001,Thiruvananthapuram
P047,Potato Chips,Snacks & Chocolates,Medium,S001,Thiruvananthapuram
P048,Mixture,Snacks & Chocolates,Low,S001,Thiruvananthapuram
P049,Namkeen,Snacks & Chocolates,Low,S001,Thiruvananthapuram
P050,Popcorn,Snacks & Chocolates,Low,S001,Thiruvananthapuram
P051,Chocolate,Snacks & Chocolates,Medium,S001,Thiruvananthapuram
P052,Candy,Snacks & Chocolates,Low,S001,Thiruvananthapuram
P053,Nuts,Snacks & Chocolates,Low,S001,Thiruvananthapuram
P054,Instant Snack Mix,Snacks & Chocolates,Low,S001,Thiruvananthapuram
P055,Instant Noodles,Ready-to-Eat & Convenience,Medium,S001,Thiruvananthapuram
P056,Soup Mix,Ready-to-Eat & Convenience,Medium,S001,Thiruvananthapuram
P057,Pasta,Ready-to-Eat & Convenience,Low,S001,Thiruvananthapuram
P058,Ready-to-Eat Meals,Ready-to-Eat & Convenience,Medium,S001,Thiruvananthapuram
P059,Canned Food,Ready-to-Eat & Convenience,Low,S001,Thiruvananthapuram
P060,Breakfast Cereal,Ready-to-Eat & Convenience,Low,S001,Thiruvananthapuram
P061,Umbrella,Weather-related Household,Very High,S001,Thiruvananthapuram
P062,Raincoat,Weather-related Household,Very High,S001,Thiruvananthapuram
P063,Waterproof Shoe Cover,Weather-related Household,High,S001,Thiruvananthapuram
P064,Candles,Weather-related Household,Medium,S001,Thiruvananthapuram
P065,Batteries,Weather-related Household,Medium,S001,Thiruvananthapuram
P066,Mosquito Repellent,Weather-related Household,High,S001,Thiruvananthapuram
P067,Soap,Personal & Household Care,Low,S001,Thiruvananthapuram
P068,Shampoo,Personal & Household Care,Medium,S001,Thiruvananthapuram
P069,Conditioner,Personal & Household Care,Medium,S001,Thiruvananthapuram
P070,Toothpaste,Personal & Household Care,Very Low,S001,Thiruvananthapuram
P071,Detergent,Personal & Household Care,Low,S001,Thiruvananthapuram
P072,Dishwashing Liquid,Personal & Household Care,Low,S001,Thiruvananthapuram
P073,Floor Cleaner,Personal & Household Care,Low,S001,Thiruvananthapuram
P074,Rice,Grocery Staples,Very Low,S001,Thiruvananthapuram
P075,Wheat Flour,Grocery Staples,Very Low,S001,Thiruvananthapuram
P076,Sugar,Grocery Staples,Very Low,S001,Thiruvananthapuram
P077,Salt,Grocery Staples,Very Low,S001,Thiruvananthapuram
P078,Cooking Oil,Grocery Staples,Very Low,S001,Thiruvananthapuram
P079,Atta,Grocery Staples,Very Low,S001,Thiruvananthapuram
P080,Spices,Grocery Staples,Very Low,S001,Thiruvananthapuram
