date,shop_id,product_id,product_name,category,weather_dependency,temperature,humidity,rainfall,demand
2025-03-11,S001,P001,Coca Cola,Beverages,High,28.3,77,0.0,14
2025-03-12,S001,P001,Coca Cola,Beverages,High,27.3,81,0.0,28
2025-03-13,S001,P001,Coca Cola,Beverages,High,28.8,80,0.0,15
2025-03-14,S001,P001,Coca Cola,Beverages,High,29.0,80,0.0,25
2025-03-15,S001,P001,Coca Cola,Beverages,High,28.9,78,0.0,30
2025-03-16,S001,P001,Coca Cola,Beverages,High,28.2,80,0.0,19
2025-03-17,S001,P001,Coca Cola,Beverages,High,27.6,80,3.0,24
2025-03-18,S001,P001,Coca Cola,Beverages,High,27.5,82,7.9,11
2025-03-19,S001,P001,Coca Cola,Beverages,High,28.1,80,0.0,13
2025-03-20,S001,P001,Coca Cola,Beverages,High,28.8,79,0.0,32
2025-03-21,S001,P001,Coca Cola,Beverages,High,29.1,76,0.0,13
2025-03-22,S001,P001,Coca Cola,Beverages,High,28.0,83,4.5,17
2025-03-23,S001,P001,Coca Cola,Beverages,High,28.4,80,2.7,17
2025-03-24,S001,P001,Coca Cola,Beverages,High,29.2,78,3.1,7
2025-03-25,S001,P001,Coca Cola,Beverages,High,29.3,77,1.9,21
2025-03-26,S001,P001,Coca Cola,Beverages,High,29.2,77,7.2,29
2025-03-27,S001,P001,Coca Cola,Beverages,High,29.3,76,2.0,16
2025-03-28,S001,P001,Coca Cola,Beverages,High,29.3,77,3.1,21
2025-03-29,S001,P001,Coca Cola,Beverages,High,29.6,80,4.1,30
2025-03-30,S001,P001,Coca Cola,Beverages,High,29.6,77,0.0,8
2025-03-31,S001,P001,Coca Cola,Beverages,High,29.6,75,2.3,25
2025-04-01,S001,P001,Coca Cola,Beverages,High,28.6,80,2.2,28
2025-04-02,S001,P001,Coca Cola,Beverages,High,28.2,80,1.5,31
2025-04-03,S001,P001,Coca Cola,Beverages,High,27.9,81,3.1,22
2025-04-04,S001,P001,Coca Cola,Beverages,High,26.6,85,0.0,11
2025-04-05,S001,P001,Coca Cola,Beverages,High,27.3,85,50.0,14
2025-04-06,S001,P001,Coca Cola,Beverages,High,27.4,84,0.0,7
2025-04-07,S001,P001,Coca Cola,Beverages,High,29.5,81,7.1,10
2025-04-08,S001,P001,Coca Cola,Beverages,High,29.2,81,0.0,25
2025-04-09,S001,P001,Coca Cola,Beverages,High,28.8,80,0.8,16
2025-04-10,S001,P001,Coca Cola,Beverages,High,28.2,82,0.0,14
2025-04-11,S001,P001,Coca Cola,Beverages,High,29.2,82,0.5,22
2025-04-12,S001,P001,Coca Cola,Beverages,High,26.1,85,18.0,31
2025-04-13,S001,P001,Coca Cola,Beverages,High,29.2,83,1.0,12
2025-04-14,S001,P001,Coca Cola,Beverages,High,29.1,80,0.0,11
2025-04-15,S001,P001,Coca Cola,Beverages,High,29.4,77,0.0,15
2025-04-16,S001,P001,Coca Cola,Beverages,High,29.9,78,0.0,23
2025-04-17,S001,P001,Coca Cola,Beverages,High,29.6,79,0.0,12
2025-04-18,S001,P001,Coca Cola,Beverages,High,29.5,80,0.0,34
2025-04-19,S001,P001,Coca Cola,Beverages,High,29.7,79,0.0,10
2025-04-20,S001,P001,Coca Cola,Beverages,High,29.5,79,0.0,9
2025-04-21,S001,P001,Coca Cola,Beverages,High,29.4,79,0.0,30
2025-04-22,S001,P001,Coca Cola,Beverages,High,28.9,80,0.0,32
2025-04-23,S001,P001,Coca Cola,Beverages,High,28.6,84,18.0,17
2025-04-24,S001,P001,Coca Cola,Beverages,High,29.6,82,0.0,12
2025-04-25,S001,P001,Coca Cola,Beverages,High,28.8,84,6.8,12
2025-04-26,S001,P001,Coca Cola,Beverages,High,28.5,86,0.6,23
2025-04-27,S001,P001,Coca Cola,Beverages,High,28.1,86,3.5,28
2025-04-28,S001,P001,Coca Cola,Beverages,High,28.1,87,10.2,21
2025-04-29,S001,P001,Coca Cola,Beverages,High,28.5,86,5.1,20
2025-04-30,S001,P001,Coca Cola,Beverages,High,28.7,85,0.8,28
2025-05-01,S001,P001,Coca Cola,Beverages,High,29.6,83,0.0,24
2025-05-02,S001,P001,Coca Cola,Beverages,High,28.3,87,5.1,6
2025-05-03,S001,P001,Coca Cola,Beverages,High,28.3,85,62.0,29
2025-05-04,S001,P001,Coca Cola,Beverages,High,29.9,79,0.0,19
2025-05-05,S001,P001,Coca Cola,Beverages,High,29.6,79,3.9,21
2025-05-06,S001,P001,Coca Cola,Beverages,High,29.5,78,4.3,9
2025-05-07,S001,P001,Coca Cola,Beverages,High,28.9,80,3.1,22
2025-05-08,S001,P001,Coca Cola,Beverages,High,28.7,80,0.3,31
2025-05-09,S001,P001,Coca Cola,Beverages,High,29.7,77,0.0,12
2025-05-10,S001,P001,Coca Cola,Beverages,High,29.7,75,0.0,34
2025-05-11,S001,P001,Coca Cola,Beverages,High,29.3,76,0.1,28
2025-05-12,S001,P001,Coca Cola,Beverages,High,28.8,82,5.1,13
2025-05-13,S001,P001,Coca Cola,Beverages,High,28.6,85,14.0,20
2025-05-14,S001,P001,Coca Cola,Beverages,High,29.5,80,0.0,15
2025-05-15,S001,P001,Coca Cola,Beverages,High,29.3,82,1.3,15
2025-05-16,S001,P001,Coca Cola,Beverages,High,28.8,84,0.8,23
2025-05-17,S001,P001,Coca Cola,Beverages,High,27.2,89,17.0,16
2025-05-18,S001,P001,Coca Cola,Beverages,High,27.3,89,2.0,15
2025-05-19,S001,P001,Coca Cola,Beverages,High,27.5,90,7.9,8
2025-05-20,S001,P001,Coca Cola,Beverages,High,27.6,86,19.1,13
2025-05-21,S001,P001,Coca Cola,Beverages,High,27.8,87,0.0,22
2025-05-22,S001,P001,Coca Cola,Beverages,High,28.3,87,16.0,28
2025-05-23,S001,P001,Coca Cola,Beverages,High,26.9,92,7.9,18
2025-05-24,S001,P001,Coca Cola,Beverages,High,25.2,96,87.1,12
2025-05-25,S001,P001,Coca Cola,Beverages,High,26.2,95,26.9,20
2025-05-26,S001,P001,Coca Cola,Beverages,High,25.7,97,31.0,33
2025-05-27,S001,P001,Coca Cola,Beverages,High,26.6,96,42.9,28
2025-05-28,S001,P001,Coca Cola,Beverages,High,29.3,88,6.1,12
2025-05-29,S001,P001,Coca Cola,Beverages,High,26.8,90,3.0,22
2025-05-30,S001,P001,Coca Cola,Beverages,High,24.3,96,39.9,15
2025-05-31,S001,P001,Coca Cola,Beverages,High,25.4,93,52.1,10
2025-06-01,S001,P001,Coca Cola,Beverages,High,28.3,87,7.9,11
2025-06-02,S001,P001,Coca Cola,Beverages,High,28.3,85,0.5,10
2025-06-03,S001,P001,Coca Cola,Beverages,High,28.2,85,5.1,21
2025-06-04,S001,P001,Coca Cola,Beverages,High,27.2,87,7.1,20
2025-06-05,S001,P001,Coca Cola,Beverages,High,28.8,82,2.0,12
2025-06-06,S001,P001,Coca Cola,Beverages,High,28.9,81,0.0,17
2025-06-07,S001,P001,Coca Cola,Beverages,High,28.9,81,0.2,25
2025-06-08,S001,P001,Coca Cola,Beverages,High,28.9,81,0.1,7
2025-06-09,S001,P001,Coca Cola,Beverages,High,28.4,81,0.8,28
2025-06-10,S001,P001,Coca Cola,Beverages,High,27.3,87,0.0,7
2025-06-11,S001,P001,Coca Cola,Beverages,High,26.2,92,9.9,30
2025-06-12,S001,P001,Coca Cola,Beverages,High,27.0,91,27.9,24
2025-06-13,S001,P001,Coca Cola,Beverages,High,26.1,94,21.1,19
2025-06-14,S001,P001,Coca Cola,Beverages,High,25.8,94,65.0,30
2025-06-15,S001,P001,Coca Cola,Beverages,High,24.6,97,43.9,32
2025-06-16,S001,P001,Coca Cola,Beverages,High,25.4,92,42.9,21
2025-06-17,S001,P001,Coca Cola,Beverages,High,27.1,88,10.9,20
2025-06-18,S001,P001,Coca Cola,Beverages,High,27.3,86,4.1,28
2025-06-19,S001,P001,Coca Cola,Beverages,High,27.5,86,5.1,13
2025-06-20,S001,P001,Coca Cola,Beverages,High,27.8,84,3.0,20
2025-06-21,S001,P001,Coca Cola,Beverages,High,28.1,86,2.0,26
2025-06-22,S001,P001,Coca Cola,Beverages,High,27.7,84,4.1,20
2025-06-23,S001,P001,Coca Cola,Beverages,High,27.3,84,2.0,8
2025-06-24,S001,P001,Coca Cola,Beverages,High,28.1,87,0.0,26
2025-06-25,S001,P001,Coca Cola,Beverages,High,27.9,90,6.1,19
2025-06-26,S001,P001,Coca Cola,Beverages,High,24.9,94,13.0,16
2025-06-27,S001,P001,Coca Cola,Beverages,High,27.5,85,25.9,17
2025-06-28,S001,P001,Coca Cola,Beverages,High,27.1,84,0.0,20
2025-06-29,S001,P001,Coca Cola,Beverages,High,27.2,85,16.0,25
2025-06-30,S001,P001,Coca Cola,Beverages,High,27.9,82,0.0,12
2025-07-01,S001,P001,Coca Cola,Beverages,High,27.4,83,0.3,31
2025-07-02,S001,P001,Coca Cola,Beverages,High,27.1,83,1.0,24
2025-07-03,S001,P001,Coca Cola,Beverages,High,27.3,82,0.3,19
2025-07-04,S001,P001,Coca Cola,Beverages,High,27.8,82,0.0,24
2025-07-05,S001,P001,Coca Cola,Beverages,High,28.2,77,0.0,19
2025-07-06,S001,P001,Coca Cola,Beverages,High,27.2,84,0.8,12
2025-07-07,S001,P001,Coca Cola,Beverages,High,27.9,85,10.9,34
2025-07-08,S001,P001,Coca Cola,Beverages,High,28.3,83,1.0,14
2025-07-09,S001,P001,Coca Cola,Beverages,High,28.3,80,0.0,13
2025-07-10,S001,P001,Coca Cola,Beverages,High,28.7,79,0.0,21
2025-07-11,S001,P001,Coca Cola,Beverages,High,28.0,82,0.0,15
2025-07-12,S001,P001,Coca Cola,Beverages,High,27.0,84,9.9,21
2025-07-13,S001,P001,Coca Cola,Beverages,High,27.1,85,0.3,16
2025-07-14,S001,P001,Coca Cola,Beverages,High,26.5,87,2.0,28
2025-07-15,S001,P001,Coca Cola,Beverages,High,25.8,89,3.0,32
2025-07-16,S001,P001,Coca Cola,Beverages,High,25.2,92,8.9,18
2025-07-17,S001,P001,Coca Cola,Beverages,High,25.4,90,6.1,31
2025-07-18,S001,P001,Coca Cola,Beverages,High,25.7,89,3.0,17
2025-07-19,S001,P001,Coca Cola,Beverages,High,25.0,93,39.9,19
2025-07-20,S001,P001,Coca Cola,Beverages,High,24.3,95,5.1,6
2025-07-21,S001,P001,Coca Cola,Beverages,High,25.5,92,30.0,33
2025-07-22,S001,P001,Coca Cola,Beverages,High,26.0,91,0.8,16
2025-07-23,S001,P001,Coca Cola,Beverages,High,25.1,91,9.9,11
2025-07-24,S001,P001,Coca Cola,Beverages,High,24.5,93,6.1,14
2025-07-25,S001,P001,Coca Cola,Beverages,High,25.1,92,17.0,21
2025-07-26,S001,P001,Coca Cola,Beverages,High,24.5,93,27.9,27
2025-07-27,S001,P001,Coca Cola,Beverages,High,27.3,84,4.1,14
2025-07-28,S001,P001,Coca Cola,Beverages,High,28.2,78,0.0,22
2025-07-29,S001,P001,Coca Cola,Beverages,High,27.7,80,0.3,19
2025-07-30,S001,P001,Coca Cola,Beverages,High,27.6,82,0.0,21
2025-07-31,S001,P001,Coca Cola,Beverages,High,27.0,85,3.0,18
2025-08-01,S001,P001,Coca Cola,Beverages,High,27.1,84,2.0,24
2025-08-02,S001,P001,Coca Cola,Beverages,High,26.4,87,1.0,14
2025-08-03,S001,P001,Coca Cola,Beverages,High,23.9,90,0.0,9
2025-08-04,S001,P001,Coca Cola,Beverages,High,26.5,84,8.9,19
2025-08-05,S001,P001,Coca Cola,Beverages,High,26.2,87,13.0,17
2025-08-06,S001,P001,Coca Cola,Beverages,High,26.8,82,0.5,9
2025-08-07,S001,P001,Coca Cola,Beverages,High,26.7,84,0.0,23
2025-08-08,S001,P001,Coca Cola,Beverages,High,27.2,83,4.5,32
2025-08-09,S001,P001,Coca Cola,Beverages,High,27.0,86,1.7,12
2025-08-10,S001,P001,Coca Cola,Beverages,High,26.8,87,1.8,12
2025-08-11,S001,P001,Coca Cola,Beverages,High,26.3,89,0.5,27
2025-08-12,S001,P001,Coca Cola,Beverages,High,26.9,88,0.3,26
2025-08-13,S001,P001,Coca Cola,Beverages,High,26.2,88,0.0,6
2025-08-14,S001,P001,Coca Cola,Beverages,High,26.3,90,10.9,36
2025-08-15,S001,P001,Coca Cola,Beverages,High,26.9,89,24.9,22
2025-08-16,S001,P001,Coca Cola,Beverages,High,25.8,89,1.0,7
2025-08-17,S001,P001,Coca Cola,Beverages,High,26.7,91,21.1,12
2025-08-18,S001,P001,Coca Cola,Beverages,High,27.3,88,1.0,19
2025-08-19,S001,P001,Coca Cola,Beverages,High,27.6,82,0.3,18
2025-08-20,S001,P001,Coca Cola,Beverages,High,27.5,80,0.0,5
2025-08-21,S001,P001,Coca Cola,Beverages,High,27.4,78,0.2,21
2025-08-22,S001,P001,Coca Cola,Beverages,High,27.6,81,0.3,16
2025-08-23,S001,P001,Coca Cola,Beverages,High,27.7,82,0.2,24
2025-08-24,S001,P001,Coca Cola,Beverages,High,27.8,81,0.7,13
2025-08-25,S001,P001,Coca Cola,Beverages,High,28.0,79,0.0,30
2025-08-26,S001,P001,Coca Cola,Beverages,High,27.4,82,1.7,21
2025-08-27,S001,P001,Coca Cola,Beverages,High,26.6,84,8.1,23
2025-08-28,S001,P001,Coca Cola,Beverages,High,26.3,88,16.0,13
2025-08-29,S001,P001,Coca Cola,Beverages,High,26.3,89,17.7,24
2025-08-30,S001,P001,Coca Cola,Beverages,High,26.4,89,5.7,17
2025-08-31,S001,P001,Coca Cola,Beverages,High,26.8,86,4.3,26
2025-09-01,S001,P001,Coca Cola,Beverages,High,27.0,85,3.9,27
2025-09-02,S001,P001,Coca Cola,Beverages,High,27.5,83,1.0,16
2025-09-03,S001,P001,Coca Cola,Beverages,High,27.3,84,2.0,33
2025-09-04,S001,P001,Coca Cola,Beverages,High,27.3,83,0.4,17
2025-09-05,S001,P001,Coca Cola,Beverages,High,27.5,81,0.2,17
2025-09-06,S001,P001,Coca Cola,Beverages,High,27.8,81,0.3,7
2025-09-07,S001,P001,Coca Cola,Beverages,High,27.8,82,1.0,10
2025-09-08,S001,P001,Coca Cola,Beverages,High,28.0,80,0.0,22
2025-09-09,S001,P001,Coca Cola,Beverages,High,28.4,80,0.5,18
2025-09-10,S001,P001,Coca Cola,Beverages,High,28.0,82,0.6,9
2025-09-11,S001,P001,Coca Cola,Beverages,High,28.0,82,0.5,23
2025-09-12,S001,P001,Coca Cola,Beverages,High,28.0,80,0.0,15
2025-09-13,S001,P001,Coca Cola,Beverages,High,28.2,80,0.1,21
2025-09-14,S001,P001,Coca Cola,Beverages,High,28.0,80,0.0,32
2025-09-15,S001,P001,Coca Cola,Beverages,High,28.0,80,3.9,27
2025-09-16,S001,P001,Coca Cola,Beverages,High,27.8,81,0.8,23
2025-09-17,S001,P001,Coca Cola,Beverages,High,27.1,84,1.9,16
2025-09-18,S001,P001,Coca Cola,Beverages,High,27.2,83,0.8,31
2025-09-19,S001,P001,Coca Cola,Beverages,High,27.3,84,0.3,14
2025-09-20,S001,P001,Coca Cola,Beverages,High,28.0,82,1.6,32
2025-09-21,S001,P001,Coca Cola,Beverages,High,27.8,81,0.5,23
2025-09-22,S001,P001,Coca Cola,Beverages,High,27.7,82,0.5,11
2025-09-23,S001,P001,Coca Cola,Beverages,High,27.3,84,8.8,24
2025-09-24,S001,P001,Coca Cola,Beverages,High,27.0,86,7.2,34
2025-09-25,S001,P001,Coca Cola,Beverages,High,25.9,93,14.1,33
2025-09-26,S001,P001,Coca Cola,Beverages,High,25.5,93,15.5,36
2025-09-27,S001,P001,Coca Cola,Beverages,High,26.4,88,5.2,28
2025-09-28,S001,P001,Coca Cola,Beverages,High,26.8,89,8.3,15
2025-09-29,S001,P001,Coca Cola,Beverages,High,27.4,86,7.0,23
2025-09-30,S001,P001,Coca Cola,Beverages,High,27.8,84,0.2,20
2025-10-01,S001,P001,Coca Cola,Beverages,High,27.8,84,1.9,11
2025-10-02,S001,P001,Coca Cola,Beverages,High,27.9,83,0.5,25
2025-10-03,S001,P001,Coca Cola,Beverages,High,28.3,82,0.1,30
2025-10-04,S001,P001,Coca Cola,Beverages,High,28.2,84,1.0,23
2025-10-05,S001,P001,Coca Cola,Beverages,High,27.8,83,6.8,16
2025-10-06,S001,P001,Coca Cola,Beverages,High,27.9,81,0.2,16
2025-10-07,S001,P001,Coca Cola,Beverages,High,28.0,78,0.1,25
2025-10-08,S001,P001,Coca Cola,Beverages,High,27.8,80,0.9,22
2025-10-09,S001,P001,Coca Cola,Beverages,High,27.8,82,0.9,32
2025-10-10,S001,P001,Coca Cola,Beverages,High,27.8,82,0.9,10
2025-10-11,S001,P001,Coca Cola,Beverages,High,28.0,82,0.4,14
2025-10-12,S001,P001,Coca Cola,Beverages,High,27.5,86,5.5,30
2025-10-13,S001,P001,Coca Cola,Beverages,High,27.3,87,7.3,20
2025-10-14,S001,P001,Coca Cola,Beverages,High,26.7,89,22.1,29
2025-10-15,S001,P001,Coca Cola,Beverages,High,26.8,89,7.3,19
2025-10-16,S001,P001,Coca Cola,Beverages,High,26.6,90,15.1,25
2025-10-17,S001,P001,Coca Cola,Beverages,High,26.5,91,4.8,13
2025-10-18,S001,P001,Coca Cola,Beverages,High,27.0,89,23.8,33
2025-10-19,S001,P001,Coca Cola,Beverages,High,26.3,91,12.0,26
2025-10-20,S001,P001,Coca Cola,Beverages,High,26.5,91,13.4,28
2025-10-21,S001,P001,Coca Cola,Beverages,High,25.5,93,20.0,34
2025-10-22,S001,P001,Coca Cola,Beverages,High,25.9,92,29.9,13
2025-10-23,S001,P001,Coca Cola,Beverages,High,25.4,94,48.2,36
2025-10-24,S001,P001,Coca Cola,Beverages,High,25.2,95,29.3,24
2025-10-25,S001,P001,Coca Cola,Beverages,High,26.0,92,5.8,7
2025-10-26,S001,P001,Coca Cola,Beverages,High,27.2,86,1.1,25
2025-10-27,S001,P001,Coca Cola,Beverages,High,26.1,90,12.8,34
2025-10-28,S001,P001,Coca Cola,Beverages,High,25.9,92,24.6,15
2025-10-29,S001,P001,Coca Cola,Beverages,High,27.0,88,23.2,35
2025-10-30,S001,P001,Coca Cola,Beverages,High,27.8,83,0.0,20
2025-10-31,S001,P001,Coca Cola,Beverages,High,28.3,79,0.0,25
2025-11-01,S001,P001,Coca Cola,Beverages,High,28.0,79,0.0,35
2025-11-02,S001,P001,Coca Cola,Beverages,High,27.6,79,0.0,12
2025-11-03,S001,P001,Coca Cola,Beverages,High,27.5,79,0.0,9
2025-11-04,S001,P001,Coca Cola,Beverages,High,27.4,82,0.0,32
2025-11-05,S001,P001,Coca Cola,Beverages,High,27.0,84,7.7,30
2025-11-06,S001,P001,Coca Cola,Beverages,High,27.3,82,0.0,21
2025-11-07,S001,P001,Coca Cola,Beverages,High,27.4,80,1.9,30
2025-11-08,S001,P001,Coca Cola,Beverages,High,27.6,80,1.8,13
2025-11-09,S001,P001,Coca Cola,Beverages,High,26.7,85,3.0,24
2025-11-10,S001,P001,Coca Cola,Beverages,High,26.2,86,18.8,32
2025-11-11,S001,P001,Coca Cola,Beverages,High,26.4,87,20.1,22
2025-11-12,S001,P001,Coca Cola,Beverages,High,27.0,86,5.2,32
2025-11-13,S001,P001,Coca Cola,Beverages,High,26.6,87,7.3,17
2025-11-14,S001,P001,Coca Cola,Beverages,High,26.3,89,8.2,21
2025-11-15,S001,P001,Coca Cola,Beverages,High,26.6,86,1.0,26
2025-11-16,S001,P001,Coca Cola,Beverages,High,27.1,85,5.0,16
2025-11-17,S001,P001,Coca Cola,Beverages,High,26.4,88,19.5,34
2025-11-18,S001,P001,Coca Cola,Beverages,High,25.2,94,15.2,14
2025-11-19,S001,P001,Coca Cola,Beverages,High,26.3,89,6.2,26
2025-11-20,S001,P001,Coca Cola,Beverages,High,27.1,85,4.6,11
2025-11-21,S001,P001,Coca Cola,Beverages,High,27.2,86,11.8,32
2025-11-22,S001,P001,Coca Cola,Beverages,High,26.3,92,10.2,32
2025-11-23,S001,P001,Coca Cola,Beverages,High,25.6,93,21.8,20
2025-11-24,S001,P001,Coca Cola,Beverages,High,25.6,92,4.5,32
2025-11-25,S001,P001,Coca Cola,Beverages,High,25.7,88,9.7,21
2025-11-26,S001,P001,Coca Cola,Beverages,High,26.0,85,17.4,15
2025-11-27,S001,P001,Coca Cola,Beverages,High,26.2,82,2.3,6
2025-11-28,S001,P001,Coca Cola,Beverages,High,26.3,80,0.0,19
2025-11-29,S001,P001,Coca Cola,Beverages,High,26.2,81,1.8,19
2025-11-30,S001,P001,Coca Cola,Beverages,High,26.2,83,0.0,21
2025-12-01,S001,P001,Coca Cola,Beverages,High,26.5,83,0.0,14
2025-12-02,S001,P001,Coca Cola,Beverages,High,26.6,83,0.0,7
2025-12-03,S001,P001,Coca Cola,Beverages,High,26.7,85,0.0,31
2025-12-04,S001,P001,Coca Cola,Beverages,High,27.4,82,0.0,10
2025-12-05,S001,P001,Coca Cola,Beverages,High,27.4,83,0.0,13
2025-12-06,S001,P001,Coca Cola,Beverages,High,27.3,82,0.0,12
2025-12-07,S001,P001,Coca Cola,Beverages,High,27.3,83,0.0,31
2025-12-08,S001,P001,Coca Cola,Beverages,High,27.6,80,0.0,13
2025-12-09,S001,P001,Coca Cola,Beverages,High,27.1,79,0.0,18
2025-12-10,S001,P001,Coca Cola,Beverages,High,27.3,78,0.0,16
2025-12-11,S001,P001,Coca Cola,Beverages,High,27.5,74,0.0,25
2025-12-12,S001,P001,Coca Cola,Beverages,High,27.4,77,0.0,26
2025-12-13,S001,P001,Coca Cola,Beverages,High,27.4,78,0.0,18
2025-12-14,S001,P001,Coca Cola,Beverages,High,27.0,76,0.0,26
2025-12-15,S001,P001,Coca Cola,Beverages,High,26.5,74,0.0,5
2025-12-16,S001,P001,Coca Cola,Beverages,High,26.4,76,0.0,13
2025-12-17,S001,P001,Coca Cola,Beverages,High,27.2,82,0.0,18
2025-12-18,S001,P001,Coca Cola,Beverages,High,27.4,76,0.0,11
2025-12-19,S001,P001,Coca Cola,Beverages,High,27.0,74,0.0,17
2025-12-20,S001,P001,Coca Cola,Beverages,High,26.2,73,0.0,22
2025-12-21,S001,P001,Coca Cola,Beverages,High,26.3,72,0.0,20
2025-12-22,S001,P001,Coca Cola,Beverages,High,26.5,75,0.0,27
